Full reference,Ocean Region,Taxa,Species,Range edge,Latitude,Longitude,Start Year,Timespan,Shift,Rate,Consistency,
"Mueter, F.J. and M.A. Litzow (2008). Sea ice retreat alters the biogeography of the bering sea continental shelf. Ecological Applications 18: 309-302",North Pacific HLSBS east,Bony fish,Glyptocephalus zachirus ,Centre,58,-167,1982,25,contraction,-4,Equivocal,
"Mueter, F.J. and M.A. Litzow (2008). Sea ice retreat alters the biogeography of the bering sea continental shelf. Ecological Applications 18: 309-302",North Pacific HLSBS east,Bony fish,Hemilepidotus papilio ,Centre,58,-167,1982,25,contraction,-2.8,Equivocal,
"Mueter, F.J. and M.A. Litzow (2008). Sea ice retreat alters the biogeography of the bering sea continental shelf. Ecological Applications 18: 309-302",North Pacific HLSBS east,Benthic crustacea,Oregonia gracilis,Centre,58,-167,1982,25,contraction,-2,Equivocal,
"Mueter, F.J. and M.A. Litzow (2008). Sea ice retreat alters the biogeography of the bering sea continental shelf. Ecological Applications 18: 309-302",North Pacific HLSBS east,Benthic crustacea,Chionoecetes bairdi ,Leading,58,-167,1982,25,contraction,-0.8,Equivocal,
"Mueter, F.J. and M.A. Litzow (2008). Sea ice retreat alters the biogeography of the bering sea continental shelf. Ecological Applications 18: 309-302",North Pacific HLSBS east,Bony fish,Hexagrammos stelleri ,Centre,58,-167,1982,25,no change,0,Consistent,
"Mueter, F.J. and M.A. Litzow (2008). Sea ice retreat alters the biogeography of the bering sea continental shelf. Ecological Applications 18: 309-302",North Pacific HLSBS east,Bony fish,Ammodytes hexapterus ,Centre,58,-167,1982,25,no change,0,No change,
"Mueter, F.J. and M.A. Litzow (2008). Sea ice retreat alters the biogeography of the bering sea continental shelf. Ecological Applications 18: 309-302",North Pacific HLSBS east,Bony fish,Trichodon trichodon ,Centre,58,-167,1982,25,no change,0,No change,
"Mueter, F.J. and M.A. Litzow (2008). Sea ice retreat alters the biogeography of the bering sea continental shelf. Ecological Applications 18: 309-302",North Pacific HLSBS east,Bony fish,Osmerus mordax ,Centre,58,-167,1982,25,no change,0,No change,
"Mueter, F.J. and M.A. Litzow (2008). Sea ice retreat alters the biogeography of the bering sea continental shelf. Ecological Applications 18: 309-302",North Pacific HLSBS east,Bony fish,Anoplopoma fimbria ,Centre,58,-167,1982,25,no change,0,No change,
"Mueter, F.J. and M.A. Litzow (2008). Sea ice retreat alters the biogeography of the bering sea continental shelf. Ecological Applications 18: 309-302",North Pacific HLSBS east,Bony fish,Eleginus gracilis ,Centre,58,-167,1982,25,no change,0,No change,
"Mueter, F.J. and M.A. Litzow (2008). Sea ice retreat alters the biogeography of the bering sea continental shelf. Ecological Applications 18: 309-302",North Pacific HLSBS east,Bony fish,Limanda aspera ,Centre,58,-167,1982,25,expansion,0.8,Consistent,
"Mueter, F.J. and M.A. Litzow (2008). Sea ice retreat alters the biogeography of the bering sea continental shelf. Ecological Applications 18: 309-302",North Pacific HLSBS east,Bony fish,Pleuronectes quadrituberculatus ,Centre,58,-167,1982,25,expansion,1.2,Consistent,
"Mueter, F.J. and M.A. Litzow (2008). Sea ice retreat alters the biogeography of the bering sea continental shelf. Ecological Applications 18: 309-302",North Pacific HLSBS east,Bony fish,Leptagonus frenatus ,Centre,58,-167,1982,25,expansion,2.4,Consistent,
"Mueter, F.J. and M.A. Litzow (2008). Sea ice retreat alters the biogeography of the bering sea continental shelf. Ecological Applications 18: 309-302",North Pacific HLSBS east,Benthic crustacea,Telmessus cheiragonus,Leading,58,-167,1982,25,expansion,5.2,Consistent,
"Mueter, F.J. and M.A. Litzow (2008). Sea ice retreat alters the biogeography of the bering sea continental shelf. Ecological Applications 18: 309-302",North Pacific HLSBS east,Benthic crustacea,Cancer oregonensis ,Leading,58,-167,1982,25,expansion,5.6,Consistent,
"Mueter, F.J. and M.A. Litzow (2008). Sea ice retreat alters the biogeography of the bering sea continental shelf. Ecological Applications 18: 309-302",North Pacific HLSBS east,Bony fish,Gadus macrocephalus,Centre,58,-167,1982,25,expansion,6.4,Consistent,
"Mueter, F.J. and M.A. Litzow (2008). Sea ice retreat alters the biogeography of the bering sea continental shelf. Ecological Applications 18: 309-302",North Pacific HLSBS east,Bony fish,Hemilepidotus jordani ,Centre,58,-167,1982,25,expansion,8.4,Consistent,
"Mueter, F.J. and M.A. Litzow (2008). Sea ice retreat alters the biogeography of the bering sea continental shelf. Ecological Applications 18: 309-302",North Pacific HLSBS east,Bony fish,Platichthys stellatus ,Centre,58,-167,1982,25,expansion,9.2,Consistent,
"Mueter, F.J. and M.A. Litzow (2008). Sea ice retreat alters the biogeography of the bering sea continental shelf. Ecological Applications 18: 309-302",North Pacific HLSBS east,Benthic crustacea,Erimacrus isenbeckii ,Leading,58,-167,1982,25,expansion,10.4,Consistent,
"Mueter, F.J. and M.A. Litzow (2008). Sea ice retreat alters the biogeography of the bering sea continental shelf. Ecological Applications 18: 309-302",North Pacific HLSBS east,Bony fish,Lycodes raridens ,Centre,58,-167,1982,25,expansion,10.8,Consistent,
"Mueter, F.J. and M.A. Litzow (2008). Sea ice retreat alters the biogeography of the bering sea continental shelf. Ecological Applications 18: 309-302",North Pacific HLSBS east,Bony fish,NA,Centre,58,-167,1982,25,expansion,13.6,Consistent,
"Mueter, F.J. and M.A. Litzow (2008). Sea ice retreat alters the biogeography of the bering sea continental shelf. Ecological Applications 18: 309-302",North Pacific HLSBS east,Bony fish,Thaleichthys pacificus ,Centre,58,-167,1982,25,expansion,13.6,Consistent,
"Mueter, F.J. and M.A. Litzow (2008). Sea ice retreat alters the biogeography of the bering sea continental shelf. Ecological Applications 18: 309-302",North Pacific HLSBS east,Bony fish,Clupea pallasi ,Centre,58,-167,1982,25,expansion,15.6,Consistent,
"Mueter, F.J. and M.A. Litzow (2008). Sea ice retreat alters the biogeography of the bering sea continental shelf. Ecological Applications 18: 309-302",North Pacific HLSBS east,Bony fish,Boreogadus saida ,Centre,58,-167,1982,25,expansion,16,Consistent,
"Mueter, F.J. and M.A. Litzow (2008). Sea ice retreat alters the biogeography of the bering sea continental shelf. Ecological Applications 18: 309-302",North Pacific HLSBS east,Bony fish,Dasycottus setiger ,Centre,58,-167,1982,25,expansion,16.4,Consistent,
"Mueter, F.J. and M.A. Litzow (2008). Sea ice retreat alters the biogeography of the bering sea continental shelf. Ecological Applications 18: 309-302",North Pacific HLSBS east,Bony fish,Atheresthes spp. ,Centre,58,-167,1982,25,expansion,18.4,Consistent,
"Mueter, F.J. and M.A. Litzow (2008). Sea ice retreat alters the biogeography of the bering sea continental shelf. Ecological Applications 18: 309-302",North Pacific HLSBS east,Benthic crustacea,Pandalus borealis ,Centre,58,-167,1982,25,expansion,18.8,Consistent,
"Mueter, F.J. and M.A. Litzow (2008). Sea ice retreat alters the biogeography of the bering sea continental shelf. Ecological Applications 18: 309-302",North Pacific HLSBS east,Bony fish,Theragra chalcogramma,Centre,58,-167,1982,25,expansion,19.2,Consistent,
"Mueter, F.J. and M.A. Litzow (2008). Sea ice retreat alters the biogeography of the bering sea continental shelf. Ecological Applications 18: 309-302",North Pacific HLSBS east,Bony fish,Limanda proboscidea ,Centre,58,-167,1982,25,expansion,20.4,Consistent,
"Mueter, F.J. and M.A. Litzow (2008). Sea ice retreat alters the biogeography of the bering sea continental shelf. Ecological Applications 18: 309-302",North Pacific HLSBS east,Bony fish,Hippoglossus stenolepis ,Centre,58,-167,1982,25,expansion,22,Consistent,
"Mueter, F.J. and M.A. Litzow (2008). Sea ice retreat alters the biogeography of the bering sea continental shelf. Ecological Applications 18: 309-302",North Pacific HLSBS east,Bony fish,Hippoglossoides elassodon ,Centre,58,-167,1982,25,expansion,22.8,Consistent,
"Mueter, F.J. and M.A. Litzow (2008). Sea ice retreat alters the biogeography of the bering sea continental shelf. Ecological Applications 18: 309-302",North Pacific HLSBS east,Bony fish,Hemitripterus bolini ,Centre,58,-167,1982,25,expansion,24,Consistent,
"Mueter, F.J. and M.A. Litzow (2008). Sea ice retreat alters the biogeography of the bering sea continental shelf. Ecological Applications 18: 309-302",North Pacific HLSBS east,Benthic crustacea,Pandalus goniurus ,Centre,58,-167,1982,25,expansion,24.8,Consistent,
"Mueter, F.J. and M.A. Litzow (2008). Sea ice retreat alters the biogeography of the bering sea continental shelf. Ecological Applications 18: 309-302",North Pacific HLSBS east,Bony fish,Occella dodecaedron ,Centre,58,-167,1982,25,expansion,26.4,Consistent,
"Mueter, F.J. and M.A. Litzow (2008). Sea ice retreat alters the biogeography of the bering sea continental shelf. Ecological Applications 18: 309-302",North Pacific HLSBS east,Bony fish,Hippoglossoides robustus ,Centre,58,-167,1982,25,expansion,30.4,Consistent,
"Mueter, F.J. and M.A. Litzow (2008). Sea ice retreat alters the biogeography of the bering sea continental shelf. Ecological Applications 18: 309-302",North Pacific HLSBS east,Bony fish,Lepidopsetta spp. ,Centre,58,-167,1982,25,expansion,30.4,Consistent,
"Mueter, F.J. and M.A. Litzow (2008). Sea ice retreat alters the biogeography of the bering sea continental shelf. Ecological Applications 18: 309-302",North Pacific HLSBS east,Benthic crustacea,Chionoecetes opilio,Trailing,58,-167,1982,25,expansion,35.6,Consistent,
"Mueter, F.J. and M.A. Litzow (2008). Sea ice retreat alters the biogeography of the bering sea continental shelf. Ecological Applications 18: 309-302",North Pacific HLSBS east,Non-bony fish,Rajidae,Centre,58,-167,1982,25,expansion,36,Consistent,
"Mueter, F.J. and M.A. Litzow (2008). Sea ice retreat alters the biogeography of the bering sea continental shelf. Ecological Applications 18: 309-302",North Pacific HLSBS east,Bony fish,Reinhardtius hippoglossoides,Centre,58,-167,1982,25,expansion,39.2,Consistent,
"Mueter, F.J. and M.A. Litzow (2008). Sea ice retreat alters the biogeography of the bering sea continental shelf. Ecological Applications 18: 309-302",North Pacific HLSBS east,Bony fish,Lycodes brevipes ,Centre,58,-167,1982,25,expansion,61.2,Consistent,
"Mueter, F.J. and M.A. Litzow (2008). Sea ice retreat alters the biogeography of the bering sea continental shelf. Ecological Applications 18: 309-302",North Pacific HLSBS east,Bony fish,Bathymaster signatus ,Centre,58,-167,1982,25,expansion,94.8,Consistent,
"Nye, J.A et al. (2009). Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",North Atlantic HLSBS west,Bony fish,Merluccius bilinearis,Centre,40,-71,1968,40,expansion,5.7,Consistent,
"Nye, J.A et al. (2009). Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",North Atlantic HLSBS west,Bony fish,Urophycis chuss,Centre,43,-68,1968,40,expansion,6.1,Consistent,
"Nye, J.A et al. (2009). Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",North Atlantic HLSBS west,Bony fish,Zoarces americanus,Centre,40,-71,1968,40,expansion,9.3,Consistent,
"Nye, J.A et al. (2009). Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",North Atlantic HLSBS west,Bony fish,Gadus morhua,Centre,40,-71,1968,40,expansion,14.8,Consistent,
"Nye, J.A et al. (2009). Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",North Atlantic HLSBS west,Bony fish,Pseudopleuronectes americanus,Centre,40,-71,1968,40,expansion,15.5,Consistent,
"Nye, J.A et al. (2009). Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",North Atlantic HLSBS west,Bony fish,Lophius americanus,Centre,40,-71,1968,40,expansion,16.1,Consistent,
"Nye, J.A et al. (2009). Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",North Atlantic HLSBS west,Bony fish,Myoxocephalus octodecemspinosus,Centre,40,-71,1968,40,expansion,18.7,Consistent,
"Nye, J.A et al. (2009). Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",North Atlantic HLSBS west,Bony fish,Urophycis tenuis,Centre,43,-68,1968,40,expansion,21,Consistent,
"Nye, J.A et al. (2009). Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",North Atlantic HLSBS west,Bony fish,Hippoglossus hippoglossus,Centre,43,-68,1968,40,expansion,25.7,Consistent,
"Nye, J.A et al. (2009). Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",North Atlantic HLSBS west,Bony fish,Urophycis regia,Centre,40,-71,1968,40,expansion,34.4,Consistent,
"Nye, J.A et al. (2009). Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",North Atlantic HLSBS west,Bony fish,Merluccius bilinearis,Centre,43,-68,1968,40,expansion,35.8,Consistent,
"Nye, J.A et al. (2009). Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",North Atlantic HLSBS west,Bony fish,Scophthalmus aquosus,Centre,40,-71,1968,40,expansion,38.1,Consistent,
"Nye, J.A et al. (2009). Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",North Atlantic HLSBS west,Bony fish,Limanda ferruginea,Centre,40,-71,1968,40,expansion,43.2,Consistent,
"Nye, J.A et al. (2009). Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",North Atlantic HLSBS west,Bony fish,Alosa pseudoharengus,Centre,40,-71,1968,40,expansion,54.7,Consistent,
"Nye, J.A et al. (2009). Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",North Atlantic HLSBS west,Bony fish,Urophycis chuss,Centre,40,-71,1968,40,expansion,55.2,Consistent,
"Nye, J.A et al. (2009). Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",North Atlantic HLSBS west,Bony fish,Alosa sapidissima,Centre,40,-71,1968,40,expansion,68.6,Consistent,
"Nye, J.A et al. (2009). Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",North Atlantic HLSBS west,Bony fish,Helicolenus dactylopterus,Centre,40,-71,1968,40,expansion,85.3,Consistent,
"Nye, J.A et al. (2009). Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",North Atlantic HLSBS west,Non-bony fish,Amblyraja radiata,Trailing,43,-68,1968,40,no change,0,No change,
"Nye, J.A et al. (2009). Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",North Atlantic HLSBS west,Bony fish,Clupea harengus,Centre,40,-71,1968,40,no change,0,No change,
"Nye, J.A et al. (2009). Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",North Atlantic HLSBS west,Bony fish,Melanogrammus aeglefinus,Centre,43,-68,1968,40,no change,0,No change,
"Nye, J.A et al. (2009). Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",North Atlantic HLSBS west,Bony fish,Melanogrammus aeglefinus,Centre,40,-71,1968,40,no change,0,No change,
"Nye, J.A et al. (2009). Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",North Atlantic HLSBS west,Bony fish,Pollachius virens,Centre,43,-68,1968,40,no change,0,No change,
"Nye, J.A et al. (2009). Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",North Atlantic HLSBS west,Bony fish,Brosme brosme,Centre,43,-68,1968,40,no change,0,No change,
"Nye, J.A et al. (2009). Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",North Atlantic HLSBS west,Bony fish,Hippoglossoides platessoides,Centre,43,-68,1968,40,no change,0,No change,
"Nye, J.A et al. (2009). Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",North Atlantic HLSBS west,Bony fish,Paralichthys dentatus,Centre,40,-71,1968,40,no change,0,No change,
"Nye, J.A et al. (2009). Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",North Atlantic HLSBS west,Bony fish,Paralichthys oblongus,Centre,40,-71,1968,40,no change,0,No change,
"Nye, J.A et al. (2009). Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",North Atlantic HLSBS west,Bony fish,Brosme brosme,Centre,43,-68,1968,40,no change,0,No change,
"Nye, J.A et al. (2009). Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",North Atlantic HLSBS west,Bony fish,Scomber scombrus,Centre,40,-71,1968,40,no change,0,No change,
"Nye, J.A et al. (2009). Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",North Atlantic HLSBS west,Bony fish,Sebastes fasciatus,Centre,43,-68,1968,40,no change,0,No change,
"Nye, J.A et al. (2009). Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",North Atlantic HLSBS west,Bony fish,Hemitripterus americanus,Centre,40,-71,1968,40,no change,0,No change,
"Nye, J.A et al. (2009). Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",North Atlantic HLSBS west,Bony fish,Anarhichas lupus,Centre,43,-68,1968,40,no change,0,No change,
"Nye, J.A et al. (2009). Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",North Atlantic HLSBS west,Bony fish,Squalus acanthias,Centre,40,-71,1968,40,no change,0,No change,
"Nye, J.A et al. (2009). Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",North Atlantic HLSBS west,Bony fish,Pseudopleuronectes americanus,Centre,43,-68,1968,40,contraction,-38.2,Equivocal,
"Nye, J.A et al. (2009). Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",North Atlantic HLSBS west,Non-bony fish,Leucoraja ocellata,Centre,40,-71,1968,40,contraction,-13.5,Equivocal,
"Nye, J.A et al. (2009). Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",North Atlantic HLSBS west,Bony fish,Gadus morhua,Centre,43,-68,1968,40,contraction,-8.3,Equivocal,
"Nye, J.A et al. (2009). Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",North Atlantic HLSBS west,Non-bony fish,Leucoraja erinacea,Centre,40,-71,1968,40,contraction,-8.3,Equivocal,
Orensanz J. et al. (2004). Contraction of the geographic range of distribution of snow crab (Chionoecetes opilio) in the eastern Bering Sea: An environmental ratchet? CalCOFI Report 45: 65-79.,North Pacific HLSBS east,Bony fish,Gadus macrocephalus,Centre,64,-168,1978,25,expansion,53.38,Consistent,
Orensanz J. et al. (2004). Contraction of the geographic range of distribution of snow crab (Chionoecetes opilio) in the eastern Bering Sea: An environmental ratchet? CalCOFI Report 45: 65-79.,North Pacific HLSBS east,Benthic crustacea,Chionoecetes opilio,Trailing,64,-168,1975,27,contraction,-155.4,Consistent,
"Perry, A. L. et al. (2005). Climate change and distribution shifts in marine fishes. Science 308: 1912:1915",North Atlantic HLSBS east,Bony fish,Arnoglossus laterna,Centre,54.17,2,1977,25,no change,0,No change,
"Perry, A. L. et al. (2005). Climate change and distribution shifts in marine fishes. Science 308: 1912:1915",North Atlantic HLSBS east,Bony fish,Callionymus lyra,Centre,55.4,2,1977,25,expansion,69.93,Consistent,
"Perry, A. L. et al. (2005). Climate change and distribution shifts in marine fishes. Science 308: 1912:1915",North Atlantic HLSBS east,Bony fish,Echiichthys vipera,Centre,53.3,2,1977,25,no change,0,No change,
"Perry, A. L. et al. (2005). Climate change and distribution shifts in marine fishes. Science 308: 1912:1915",North Atlantic HLSBS east,Bony fish,Eutrigla gurnardus,Centre,56.13,2,1977,25,expansion,39.96,Consistent,
"Perry, A. L. et al. (2005). Climate change and distribution shifts in marine fishes. Science 308: 1912:1915",North Atlantic HLSBS east,Bony fish,Gadus morhua,Centre,56.81,2,1977,25,expansion,38.85,Consistent,
"Perry, A. L. et al. (2005). Climate change and distribution shifts in marine fishes. Science 308: 1912:1915",North Atlantic HLSBS east,Bony fish,Hippoglossoides platessoides,Centre,57.62,2,1977,25,no change,0,No change,
"Perry, A. L. et al. (2005). Climate change and distribution shifts in marine fishes. Science 308: 1912:1915",North Atlantic HLSBS east,Bony fish,Lepidorhombus boscii,Centre,60.51,2,1977,25,expansion,23.31,Consistent,
"Perry, A. L. et al. (2005). Climate change and distribution shifts in marine fishes. Science 308: 1912:1915",North Atlantic HLSBS east,Bony fish,Lophius piscatorius,Centre,57.99,2,1977,25,expansion,78,Consistent,
"Perry, A. L. et al. (2005). Climate change and distribution shifts in marine fishes. Science 308: 1912:1915",North Atlantic HLSBS east,Bony fish,Lumpenus lampretaeformis,Centre,56.52,2,1977,25,expansion,118.77,Consistent,
"Perry, A. L. et al. (2005). Climate change and distribution shifts in marine fishes. Science 308: 1912:1915",North Atlantic HLSBS east,Bony fish,Melanogrammus aeglefinus,Centre,57.91,2,1977,25,no change,0,No change,
"Perry, A. L. et al. (2005). Climate change and distribution shifts in marine fishes. Science 308: 1912:1915",North Atlantic HLSBS east,Bony fish,Merlangius merlangus,Centre,56.57,2,1977,25,no change,0,No change,
"Perry, A. L. et al. (2005). Climate change and distribution shifts in marine fishes. Science 308: 1912:1915",North Atlantic HLSBS east,Bony fish,Rhinonemus cimbrius,Centre,56.05,2,1977,25,expansion,61.05,Consistent,
"Perry, A. L. et al. (2005). Climate change and distribution shifts in marine fishes. Science 308: 1912:1915",North Atlantic HLSBS east,Bony fish,Trisopterus luscus,Centre,53.29,2,1977,25,no change,0,No change,
"Perry, A. L. et al. (2005). Climate change and distribution shifts in marine fishes. Science 308: 1912:1915",North Atlantic HLSBS east,Bony fish,Trisopterus minutus,Centre,55.63,2,1977,25,no change,0,No change,
"Perry, A. L. et al. (2005). Climate change and distribution shifts in marine fishes. Science 308: 1912:1915",North Atlantic HLSBS east,Bony fish,Anarhichas lupus,Centre,58.14,2,1977,25,no change,0,No change,
"Perry, A. L. et al. (2005). Climate change and distribution shifts in marine fishes. Science 308: 1912:1915",North Atlantic HLSBS east,Bony fish,Argentina spp.,Centre,59.59,2,1977,25,no change,0,No change,
"Perry, A. L. et al. (2005). Climate change and distribution shifts in marine fishes. Science 308: 1912:1915",North Atlantic HLSBS east,Bony fish,Buglossidium luteum ,Centre,54.14,2,1977,25,no change,0,No change,
"Perry, A. L. et al. (2005). Climate change and distribution shifts in marine fishes. Science 308: 1912:1915",North Atlantic HLSBS east,Bony fish,Gadiculus argenteus,Centre,59.83,2,1977,25,no change,0,No change,
"Perry, A. L. et al. (2005). Climate change and distribution shifts in marine fishes. Science 308: 1912:1915",North Atlantic HLSBS east,Bony fish,Glyptocephalus cynoglossus,Centre,58.22,2,1977,25,no change,0,No change,
"Perry, A. L. et al. (2005). Climate change and distribution shifts in marine fishes. Science 308: 1912:1915",North Atlantic HLSBS east,Non-bony fish,Leucoraja naevus,Trailing,58.06,2,1977,25,no change,0,No change,
"Perry, A. L. et al. (2005). Climate change and distribution shifts in marine fishes. Science 308: 1912:1915",North Atlantic HLSBS east,Bony fish,Limanda limanda,Centre,55.86,2,1977,25,no change,0,Consistent,
"Perry, A. L. et al. (2005). Climate change and distribution shifts in marine fishes. Science 308: 1912:1915",North Atlantic HLSBS east,Bony fish,Merluccius merluccius,Centre,58.84,2,1977,25,no change,0,No change,
"Perry, A. L. et al. (2005). Climate change and distribution shifts in marine fishes. Science 308: 1912:1915",North Atlantic HLSBS east,Bony fish,Micromesistius poutassou,Centre,60.13,2,1977,25,no change,0,No change,
"Perry, A. L. et al. (2005). Climate change and distribution shifts in marine fishes. Science 308: 1912:1915",North Atlantic HLSBS east,Bony fish,Microstomus kitt,Centre,57.06,2,1977,25,no change,0,No change,
"Perry, A. L. et al. (2005). Climate change and distribution shifts in marine fishes. Science 308: 1912:1915",North Atlantic HLSBS east,Bony fish,Molva molva,Centre,59.26,2,1977,25,no change,0,No change,
"Perry, A. L. et al. (2005). Climate change and distribution shifts in marine fishes. Science 308: 1912:1915",North Atlantic HLSBS east,Non-bony fish,Myxine glutinosa,Centre,57.51,2,1977,25,no change,0,No change,
"Perry, A. L. et al. (2005). Climate change and distribution shifts in marine fishes. Science 308: 1912:1915",North Atlantic HLSBS east,Bony fish,Pleuronectes platessa,Centre,55.52,2,1977,25,no change,0,No change,
"Perry, A. L. et al. (2005). Climate change and distribution shifts in marine fishes. Science 308: 1912:1915",North Atlantic HLSBS east,Bony fish,Pollachius virens,Centre,59.44,2,1977,25,no change,0,No change,
"Perry, A. L. et al. (2005). Climate change and distribution shifts in marine fishes. Science 308: 1912:1915",North Atlantic HLSBS east,Bony fish,Psetta maxima,Centre,54.73,2,1977,25,no change,0,No change,
"Perry, A. L. et al. (2005). Climate change and distribution shifts in marine fishes. Science 308: 1912:1915",North Atlantic HLSBS east,Bony fish,Sebastes spp. ,Centre,59.89,2,1977,25,no change,0,No change,
"Perry, A. L. et al. (2005). Climate change and distribution shifts in marine fishes. Science 308: 1912:1915",North Atlantic HLSBS east,Non-bony fish,Squalus acanthias,Centre,56.29,2,1977,25,no change,0,No change,
"Perry, A. L. et al. (2005). Climate change and distribution shifts in marine fishes. Science 308: 1912:1915",North Atlantic HLSBS east,Bony fish,Trigla lucerna,Centre,53.89,2,1977,25,no change,0,No change,
"Perry, A. L. et al. (2005). Climate change and distribution shifts in marine fishes. Science 308: 1912:1915",North Atlantic HLSBS east,Bony fish,Agonus cataphractus,Centre,54.67,2,1977,25,contraction,-82.14,Equivocal,
"Perry, A. L. et al. (2005). Climate change and distribution shifts in marine fishes. Science 308: 1912:1915",North Atlantic HLSBS east,Non-bony fish,Scyliorhinus canicula,Centre,58.34,2,1977,25,contraction,-85.47,Equivocal,
"Perry, A. L. et al. (2005). Climate change and distribution shifts in marine fishes. Science 308: 1912:1915",North Atlantic HLSBS east,Bony fish,Solea solea,Centre,53.68,2,1977,25,contraction,-54.39,Equivocal,
"Perry, A. L. et al. (2005). Climate change and distribution shifts in marine fishes. Science 308: 1912:1915",North Atlantic HLSBS east,Bony fish,Trisopterus esmarkii,Centre,58.59,2,1977,25,contraction,-21.09,Equivocal,
"Pitt N, et al. (2010) Climate-driven range changes in Tasmanian intertidal fauna. Marine and Freshwater Research 61: 963-970",South Pacific HLSBS west,Benthic molluscs,Notoacmea mayi,Leading,-43.57,146.93,1955,54,contraction,-3.7,Equivocal,
"Pitt N, et al. (2010) Climate-driven range changes in Tasmanian intertidal fauna. Marine and Freshwater Research 61: 963-970",South Pacific HLSBS west,Benthic invert. (other),Galeolaria caespitosa,Leading,-43.57,146.93,1955,54,expansion,3.7,Consistent,
